,eid,timestamp,activity,vacancies,managers,applicants,applications,recruiters,offers
6037,6038,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770763]'],['Dionne Meister'],
6038,6039,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770788]'],['Ed Geisler'],
6039,6040,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770792]'],['Simon Kershaw'],
6040,6041,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770822]'],['Dionne Hense'],
6041,6042,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770774]'],['Dionne Geisler'],
6042,6043,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770854]'],['Simon Kershaw'],
6043,6044,2019-09-22 06:38:00+00:00,consult manager,,['Alexander Rinke'],,['Application[770722]'],['Simon Kershaw'],
6044,6045,2019-09-22 14:05:57+00:00,close vacancy for new applications,['Vacancy[550138] - Manager'],,,,,
6045,6046,2019-09-22 14:05:57+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770613]'],['Dionne Kershaw'],
6046,6047,2019-09-22 14:05:57+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770690]'],['Ed Meister'],
6047,6048,2019-09-22 14:05:57+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770738]'],['Jana Kershaw'],
6048,6049,2019-09-23 06:29:14+00:00,assign vacancy,['Vacancy[550114] - Consultant'],,,['Application[770773]'],,
6049,6050,2019-09-23 06:31:13+00:00,first screening,,,,['Application[770878]'],['Jana Hense'],
6050,6051,2019-09-23 06:48:34+00:00,first screening,,,,['Application[770885]'],['Ed Geisler'],
6051,6052,2019-09-23 06:49:36+00:00,conduct interview,['Vacancy[550131] - Programmer'],['Ariel Bardin'],['Ray Wang'],['Application[770448]'],['Simon Meister'],
6052,6053,2019-09-23 07:10:54+00:00,assign vacancy,['Vacancy[550121] - Manager'],,,['Application[770750]'],,
6053,6054,2019-09-23 07:17:51+00:00,invite for interview,['Vacancy[550122] - Programmer'],,['Jorge Pietersen'],['Application[770843]'],"['Ed Hense', 'Ed Keane']",
6054,6055,2019-09-23 07:22:00+00:00,assign recruiter,,,,['Application[770860]'],"['Dionne Keane', 'Dionne Meister', 'Dionne Geisler']",
6055,6056,2019-09-23 07:25:06+00:00,first screening,,,,['Application[770874]'],['Jana Meister'],
6056,6057,2019-09-23 07:34:25+00:00,assign recruiter,,,,['Application[770850]'],"['Dionne Kershaw', 'Dionne Keane', 'Simon Geisler']",
6057,6058,2019-09-23 07:37:36+00:00,conduct interview,['Vacancy[550112] - Consultant'],['Martin Klenk'],['Lisa Brown'],['Application[770730]'],['Simon Keane'],
6058,6059,2019-09-23 07:38:24+00:00,check references,,,,['Application[770649]'],"['Simon Meister', 'Jana Meister']",
6059,6060,2019-09-23 07:40:51+00:00,assign vacancy,['Vacancy[550131] - Programmer'],,,['Application[770880]'],,
6060,6061,2019-09-23 07:48:22+00:00,conduct interview,['Vacancy[550122] - Programmer'],['Bastian Nominacher'],['Jorge Pietersen'],['Application[770843]'],['Simon Meister'],
6061,6062,2019-09-23 07:58:22+00:00,assign recruiter,,,,['Application[770865]'],"['Ed Meister', 'Dionne Hense', 'Jana Meister']",
6062,6063,2019-09-23 08:08:08+00:00,first screening,,,,['Application[770891]'],['Ed Kershaw'],
6063,6064,2019-09-23 08:12:28+00:00,send rejection,,,['Andre Weber'],['Application[770642]'],['Ed Hense'],
6064,6065,2019-09-23 08:12:28+00:00,submit application,,,['Andre Weber'],['Application[770898]'],,
6065,6066,2019-09-23 08:25:31+00:00,consult manager,,['Martin Klenk'],,['Application[770622]'],['Simon Hense'],
6066,6067,2019-09-23 08:34:11+00:00,first screening,,,,['Application[770807]'],['Jana Kershaw'],
6067,6068,2019-09-23 08:53:45+00:00,first screening,,,,['Application[770886]'],['Jana Meister'],
6068,6069,2019-09-23 08:57:58+00:00,assign recruiter,,,,['Application[770890]'],"['Simon Hense', 'Ed Meister', 'Dionne Keane']",
6069,6070,2019-09-23 09:12:50+00:00,consult manager,,['Martin Klenk'],,['Application[770859]'],['Jana Hense'],
6070,6071,2019-09-23 09:19:53+00:00,invite for interview,['Vacancy[550134] - Manager'],,['Lisa Pietersen'],['Application[770735]'],"['Dionne Keane', 'Dionne Meister']",
6071,6072,2019-09-23 09:20:27+00:00,check references,,,,['Application[770742]'],"['Dionne Hense', 'Simon Keane']",
6072,6073,2019-09-23 09:36:28+00:00,make job offer,['Vacancy[550087] - Programmer'],['Vaishnavi Sashikanth'],['Vanessa Neumann'],['Application[770600]'],['Simon Keane'],['Offer[[990110]]']
6073,6074,2019-09-23 09:47:38+00:00,invite for interview,['Vacancy[550119] - Consultant'],,['Pete Li'],['Application[770622]'],"['Dionne Keane', 'Ed Keane']",
6074,6075,2019-09-23 09:54:17+00:00,invite for interview,['Vacancy[550126] - Manager'],,['Stephan Brown'],['Application[770789]'],"['Jana Keane', 'Simon Meister']",
6075,6076,2019-09-23 09:55:48+00:00,assign recruiter,,,,['Application[770876]'],"['Dionne Kershaw', 'Jana Kershaw', 'Ed Keane']",
6076,6077,2019-09-23 10:22:43+00:00,make job offer,['Vacancy[550131] - Programmer'],['Ariel Bardin'],['Sue Li'],['Application[770712]'],['Simon Meister'],['Offer[[990111]]']
6077,6078,2019-09-23 10:27:34+00:00,invite for interview,['Vacancy[550110] - Programmer'],,['Johan Zimmermann'],['Application[770662]'],"['Ed Keane', 'Ed Hense']",
6078,6079,2019-09-23 10:35:14+00:00,send rejection,,,['Ray Brown'],['Application[770543]'],['Dionne Geisler'],
6079,6080,2019-09-23 10:35:14+00:00,submit application,['Vacancy[550139] - Consultant'],,['Ray Brown'],['Application[770899]'],,
6080,6081,2019-09-23 10:40:20+00:00,check references,,,,['Application[770881]'],"['Ed Meister', 'Jana Hense']",
6081,6082,2019-09-23 10:44:07+00:00,assign vacancy,['Vacancy[550057] - Consultant'],,,['Application[770826]'],,
6082,6083,2019-09-23 10:44:16+00:00,assign vacancy,['Vacancy[550134] - Manager'],,,['Application[770875]'],,
6083,6084,2019-09-23 10:57:46+00:00,offer accepted and hired,['Vacancy[550118] - Consultant'],,['Pete Jansen'],['Application[770329]'],['Ed Keane'],['Offer[[990097]]']
6084,6085,2019-09-23 11:03:05+00:00,assign recruiter,,,,['Application[770844]'],"['Simon Hense', 'Simon Keane', 'Simon Kershaw']",
6085,6086,2019-09-23 11:14:56+00:00,first screening,,,,['Application[770858]'],['Jana Kershaw'],
6086,6087,2019-09-23 11:49:38+00:00,first screening,,,,['Application[770729]'],['Simon Keane'],
6087,6088,2019-09-23 12:06:54+00:00,send rejection,,,['Angela Wang'],['Application[770809]'],['Jana Keane'],
6088,6089,2019-09-23 12:06:54+00:00,submit application,,,['Angela Wang'],['Application[770900]'],,
6089,6090,2019-09-23 12:10:57+00:00,invite for interview,['Vacancy[550126] - Manager'],,['Stephan Neumann'],['Application[770819]'],"['Ed Geisler', 'Simon Meister']",
6090,6091,2019-09-23 12:37:27+00:00,first screening,,,,['Application[770838]'],['Dionne Keane'],
6091,6092,2019-09-23 12:38:34+00:00,assign vacancy,['Vacancy[550132] - Consultant'],,,['Application[770850]'],,
6092,6093,2019-09-23 12:52:52+00:00,assign vacancy,['Vacancy[550140] - Programmer'],,,['Application[770771]'],,
6093,6094,2019-09-23 12:54:29+00:00,conduct interview,['Vacancy[550110] - Programmer'],['Vaishnavi Sashikanth'],['Sue Lemmens'],['Application[770679]'],['Simon Hense'],
6094,6095,2019-09-23 12:59:10+00:00,consult manager,,['Martin Klenk'],,['Application[770785]'],['Jana Hense'],
6095,6096,2019-09-23 12:59:17+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770864]'],['Dionne Hense'],
6096,6097,2019-09-23 13:03:44+00:00,first screening,,,,['Application[770826]'],['Ed Keane'],
6097,6098,2019-09-23 13:19:22+00:00,assign vacancy,['Vacancy[550130] - Consultant'],,,['Application[770860]'],,
6098,6099,2019-09-23 13:19:34+00:00,check references,,,,['Application[770808]'],"['Ed Hense', 'Jana Geisler']",
6099,6100,2019-09-23 13:20:12+00:00,assign recruiter,,,,['Application[770887]'],"['Simon Hense', 'Dionne Keane', 'Jana Geisler']",
6100,6101,2019-09-23 13:25:08+00:00,invite for interview,['Vacancy[550136] - Manager'],,['Andre Neumann'],['Application[770660]'],"['Simon Kershaw', 'Jana Hense']",
6101,6102,2019-09-23 13:39:02+00:00,consult manager,,['Martin Klenk'],,['Application[770857]'],['Ed Geisler'],
6102,6103,2019-09-23 13:40:53+00:00,invite for interview,['Vacancy[550134] - Manager'],,['Ray Park'],['Application[770783]'],"['Simon Keane', 'Jana Kershaw']",
6103,6104,2019-09-23 13:45:59+00:00,assign recruiter,,,,['Application[770866]'],"['Jana Keane', 'Dionne Meister', 'Simon Keane']",
6104,6105,2019-09-23 13:47:37+00:00,conduct interview,['Vacancy[550085] - Programmer'],['Vaishnavi Sashikanth'],['Johan Taylor'],['Application[770586]'],['Dionne Geisler'],
6105,6106,2019-09-23 13:49:52+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770874]'],['Jana Meister'],
6106,6107,2019-09-23 14:16:26+00:00,first screening,,,,['Application[770865]'],['Ed Meister'],
6107,6108,2019-09-23 14:17:01+00:00,invite for interview,['Vacancy[550136] - Manager'],,['Sue Brown'],['Application[770628]'],"['Ed Meister', 'Jana Hense']",
6108,6109,2019-09-23 14:17:28+00:00,make job offer,['Vacancy[550122] - Programmer'],['Bastian Nominacher'],['Jorge Pietersen'],['Application[770843]'],['Simon Meister'],['Offer[[990112]]']
6109,6110,2019-09-23 14:31:30+00:00,send rejection,,,['Toon Lemmens'],['Application[770774]'],['Dionne Geisler'],
6110,6111,2019-09-23 14:31:30+00:00,submit application,['Vacancy[550140] - Programmer'],,['Toon Lemmens'],['Application[770901]'],,
6111,6112,2019-09-23 14:47:50+00:00,send rejection,,,['Ray Wang'],['Application[770448]'],['Simon Meister'],
6112,6113,2019-09-23 14:53:21+00:00,first screening,,,,['Application[770876]'],['Dionne Kershaw'],
6113,6114,2019-09-23 15:17:30+00:00,make job offer,['Vacancy[550085] - Programmer'],['Vaishnavi Sashikanth'],['Johan Taylor'],['Application[770586]'],['Dionne Geisler'],['Offer[[990113]]']
6114,6115,2019-09-23 15:18:10+00:00,assign recruiter,,,,['Application[770861]'],"['Ed Geisler', 'Dionne Hense', 'Simon Meister']",
6115,6116,2019-09-23 15:19:16+00:00,assign recruiter,,,,['Application[770884]'],"['Simon Meister', 'Dionne Kershaw', 'Jana Keane']",
6116,6117,2019-09-23 15:38:08+00:00,conduct interview,['Vacancy[550126] - Manager'],['Ariel Bardin'],['Stephan Brown'],['Application[770789]'],['Ed Geisler'],
6117,6118,2019-09-23 15:47:19+00:00,submit application,['Vacancy[550140] - Programmer'],,['Ray Wang'],['Application[770902]'],,
6118,6119,2019-09-23 16:05:11+00:00,make job offer,['Vacancy[550111] - Programmer'],['Miguel Milano'],['Toon Neumann'],['Application[770752]'],['Jana Keane'],['Offer[[990114]]']
6119,6120,2019-09-23 16:06:21+00:00,conduct interview,['Vacancy[550122] - Programmer'],['Bastian Nominacher'],['Angela Jansen'],['Application[770618]'],['Jana Meister'],
6120,6121,2019-09-23 16:20:18+00:00,conduct interview,['Vacancy[550122] - Programmer'],['Bastian Nominacher'],['Chun Li'],['Application[770656]'],['Simon Kershaw'],
6121,6122,2019-09-23 17:00:21+00:00,first screening,,,,['Application[770845]'],['Jana Hense'],
6122,6123,2019-09-23 17:01:08+00:00,first screening,,,,['Application[770861]'],['Ed Geisler'],
6123,6124,2019-09-23 19:37:23+00:00,invite for interview,['Vacancy[550124] - Consultant'],,['Ray Schmidt'],['Application[770816]'],"['Ed Hense', 'Dionne Geisler']",
6124,6125,2019-09-23 19:49:09+00:00,send rejection,,,['Angela Jansen'],['Application[770618]'],['Jana Meister'],
6125,6126,2019-09-23 19:49:09+00:00,submit application,['Vacancy[550140] - Programmer'],,['Angela Jansen'],['Application[770903]'],,
6126,6127,2019-09-24 07:10:45+00:00,consult manager,,['Miguel Milano'],,['Application[770793]'],['Simon Keane'],
6127,6128,2019-09-24 07:10:59+00:00,assign vacancy,['Vacancy[550131] - Programmer'],,,['Application[770844]'],,
6128,6129,2019-09-24 07:26:01+00:00,send rejection,,,['Detlef Brown'],['Application[770686]'],['Jana Kershaw'],
6129,6130,2019-09-24 07:26:01+00:00,submit application,,,['Detlef Brown'],['Application[770904]'],,
6130,6131,2019-09-24 07:30:43+00:00,conduct interview,['Vacancy[550124] - Consultant'],['Vaishnavi Sashikanth'],['Ray Schmidt'],['Application[770816]'],['Ed Meister'],
6131,6132,2019-09-24 07:35:20+00:00,check references,,,,['Application[770863]'],"['Simon Hense', 'Dionne Hense']",
6132,6133,2019-09-24 07:39:29+00:00,conduct interview,['Vacancy[550116] - Manager'],['Bastian Nominacher'],['Andre Lemmens'],['Application[770791]'],['Jana Geisler'],
6133,6134,2019-09-24 07:49:33+00:00,offer accepted and hired,['Vacancy[550082] - Programmer'],,['Detlef Zimmermann'],['Application[770652]'],['Ed Kershaw'],['Offer[[990109]]']
6134,6135,2019-09-24 07:53:16+00:00,first screening,,,,['Application[770852]'],['Simon Geisler'],
6135,6136,2019-09-24 08:03:29+00:00,send rejection,,,['Chun Lopez'],['Application[770861]'],['Ed Geisler'],
6136,6137,2019-09-24 08:05:01+00:00,conduct interview,['Vacancy[550131] - Programmer'],['Ariel Bardin'],['Sonia Jansen'],['Application[770840]'],['Ed Meister'],
6137,6138,2019-09-24 08:28:40+00:00,invite for interview,['Vacancy[550137] - Consultant'],,['Vanessa Johnson'],['Application[770822]'],"['Dionne Geisler', 'Ed Meister']",
6138,6139,2019-09-24 08:36:21+00:00,submit application,,,['Chun Lopez'],['Application[770905]'],,
6139,6140,2019-09-24 08:37:15+00:00,make job offer,['Vacancy[550124] - Consultant'],['Vaishnavi Sashikanth'],['Ray Schmidt'],['Application[770816]'],['Ed Meister'],['Offer[[990115]]']
6140,6141,2019-09-24 08:40:08+00:00,invite for interview,['Vacancy[550136] - Manager'],,['Stephan Johnson'],['Application[770817]'],"['Dionne Kershaw', 'Jana Kershaw']",
6141,6142,2019-09-24 08:42:37+00:00,invite for interview,['Vacancy[550114] - Consultant'],,['Detlef Taylor'],['Application[770793]'],"['Jana Geisler', 'Simon Meister']",
6142,6143,2019-09-24 08:46:56+00:00,check references,,,,['Application[770729]'],"['Ed Hense', 'Jana Hense']",
6143,6144,2019-09-24 08:52:58+00:00,close vacancy for new applications,['Vacancy[550139] - Consultant'],,,,,
6144,6145,2019-09-24 08:52:58+00:00,consult manager,,['Ariel Bardin'],,['Application[770849]'],['Dionne Meister'],
6145,6146,2019-09-24 08:52:58+00:00,consult manager,,['Ariel Bardin'],,['Application[770824]'],['Ed Geisler'],
6146,6147,2019-09-24 08:52:58+00:00,consult manager,,['Ariel Bardin'],,['Application[770834]'],['Simon Geisler'],
6147,6148,2019-09-24 08:52:58+00:00,consult manager,,['Ariel Bardin'],,['Application[770795]'],['Simon Keane'],
6148,6149,2019-09-24 08:55:48+00:00,consult manager,,['Martin Klenk'],,['Application[770885]'],['Ed Geisler'],
6149,6150,2019-09-24 09:03:55+00:00,invite for interview,['Vacancy[550137] - Consultant'],,['Stephan Wang'],['Application[770854]'],"['Dionne Meister', 'Ed Keane']",
6150,6151,2019-09-24 09:05:13+00:00,first screening,,,,['Application[770890]'],['Simon Hense'],
6151,6152,2019-09-24 09:19:40+00:00,send rejection,,,['Ray Davis'],['Application[770769]'],['Dionne Hense'],
6152,6153,2019-09-24 09:27:54+00:00,check references,,,,['Application[770799]'],"['Ed Kershaw', 'Simon Geisler']",
6153,6154,2019-09-24 09:43:32+00:00,consult manager,,['Alexander Rinke'],,['Application[770838]'],['Dionne Keane'],
6154,6155,2019-09-24 09:44:06+00:00,first screening,,,,['Application[770884]'],['Simon Meister'],
6155,6156,2019-09-24 09:44:38+00:00,send rejection,,,['Lisa Park'],['Application[770763]'],['Dionne Meister'],
6156,6157,2019-09-24 09:47:30+00:00,first screening,,,,['Application[770866]'],['Jana Keane'],
6157,6158,2019-09-24 09:54:02+00:00,make job offer,['Vacancy[550112] - Consultant'],['Martin Klenk'],['Lisa Brown'],['Application[770730]'],['Simon Keane'],['Offer[[990116]]']
6158,6159,2019-09-24 09:57:02+00:00,submit application,['Vacancy[550140] - Programmer'],,['Ray Davis'],['Application[770906]'],,
6159,6160,2019-09-24 10:00:27+00:00,conduct interview,['Vacancy[550136] - Manager'],['Miguel Milano'],['Andre Neumann'],['Application[770660]'],['Jana Geisler'],
6160,6161,2019-09-24 10:06:52+00:00,consult manager,,['Martin Klenk'],,['Application[770781]'],['Simon Geisler'],
6161,6162,2019-09-24 10:08:52+00:00,first screening,,,,['Application[770887]'],['Simon Hense'],
6162,6163,2019-09-24 10:12:20+00:00,first screening,,,,['Application[770837]'],['Jana Kershaw'],
6163,6164,2019-09-24 10:17:27+00:00,send rejection,,,['Sonia Jansen'],['Application[770840]'],['Ed Meister'],
6164,6165,2019-09-24 10:50:04+00:00,assign recruiter,,,,['Application[770869]'],"['Ed Geisler', 'Jana Geisler', 'Simon Kershaw']",
6165,6166,2019-09-24 10:52:50+00:00,assign vacancy,['Vacancy[550136] - Manager'],,,['Application[770869]'],,
6166,6167,2019-09-24 11:38:24+00:00,submit application,,,['Lisa Park'],['Application[770907]'],,
6167,6168,2019-09-24 11:41:09+00:00,send rejection,,,['Detlef Smith'],['Application[770742]'],['Dionne Keane'],
6168,6169,2019-09-24 12:04:44+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770858]'],['Jana Kershaw'],
6169,6170,2019-09-24 12:12:01+00:00,conduct interview,['Vacancy[550131] - Programmer'],['Ariel Bardin'],['Andre Li'],['Application[770519]'],['Simon Keane'],
6170,6171,2019-09-24 12:17:07+00:00,check references,,,,['Application[770874]'],"['Ed Geisler', 'Jana Kershaw']",
6171,6172,2019-09-24 12:19:37+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770846]'],['Ed Keane'],
6172,6173,2019-09-24 12:24:21+00:00,conduct interview,['Vacancy[550137] - Consultant'],['Alexander Rinke'],['Vanessa Johnson'],['Application[770822]'],['Dionne Hense'],
6173,6174,2019-09-24 12:27:16+00:00,offer accepted and hired,['Vacancy[550087] - Programmer'],,['Pete Jones'],['Application[770689]'],['Dionne Kershaw'],['Offer[[990101]]']
6174,6175,2019-09-24 12:41:38+00:00,send rejection,,,['Sue Lopez'],['Application[770720]'],['Dionne Geisler'],
6175,6176,2019-09-24 12:42:53+00:00,conduct interview,['Vacancy[550064] - Manager'],['Martin Klenk'],['Toon Taylor'],['Application[770736]'],['Dionne Hense'],
6176,6177,2019-09-24 12:54:36+00:00,invite for interview,['Vacancy[550130] - Consultant'],,['Chun Johnson'],['Application[770842]'],"['Ed Keane', 'Dionne Keane']",
6177,6178,2019-09-24 13:01:07+00:00,submit application,,,['Sonia Jansen'],['Application[770908]'],,
6178,6179,2019-09-24 13:14:19+00:00,send rejection,,,['Chun Weber'],['Application[770632]'],['Dionne Hense'],
6179,6180,2019-09-24 13:23:24+00:00,first screening,,,,['Application[770875]'],['Jana Kershaw'],
6180,6181,2019-09-24 13:44:16+00:00,first screening,,,,['Application[770860]'],['Dionne Keane'],
6181,6182,2019-09-24 13:45:27+00:00,submit application,,,['Detlef Smith'],['Application[770909]'],,
6182,6183,2019-09-24 14:17:04+00:00,consult manager,,['Miguel Milano'],,['Application[770881]'],['Ed Hense'],
6183,6184,2019-09-24 14:18:50+00:00,job offer declined,['Vacancy[550112] - Consultant'],,['Jorge Pietersen'],['Application[770843]'],['Simon Meister'],['Offer[[990112]]']
6184,6185,2019-09-24 14:22:40+00:00,consult manager,,['Ariel Bardin'],,['Application[770826]'],['Ed Keane'],
6185,6186,2019-09-24 14:23:21+00:00,check references,,,,['Application[770501]'],"['Jana Keane', 'Dionne Hense']",
6186,6187,2019-09-24 14:25:23+00:00,invite for interview,['Vacancy[550137] - Consultant'],,['Vanessa Jansen'],['Application[770788]'],"['Ed Hense', 'Ed Meister']",
6187,6188,2019-09-24 14:29:46+00:00,assign recruiter,,,,['Application[770872]'],"['Simon Kershaw', 'Dionne Geisler', 'Jana Keane']",
6188,6189,2019-09-24 14:33:48+00:00,invite for interview,['Vacancy[550105] - Consultant'],,['Stephan Jansen'],['Application[770713]'],"['Ed Hense', 'Simon Geisler']",
6189,6190,2019-09-24 14:41:58+00:00,invite for interview,['Vacancy[550135] - Consultant'],,['Lisa Jones'],['Application[770868]'],"['Jana Kershaw', 'Dionne Geisler']",
6190,6191,2019-09-24 14:44:58+00:00,consult manager,,['Bastian Nominacher'],,['Application[770732]'],['Jana Kershaw'],
6191,6192,2019-09-24 14:51:10+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770719]'],['Ed Meister'],
6192,6193,2019-09-24 15:07:48+00:00,assign recruiter,,,,['Application[770827]'],"['Dionne Hense', 'Simon Hense', 'Dionne Keane']",
6193,6194,2019-09-24 15:15:14+00:00,submit application,['Vacancy[550140] - Programmer'],,['Sue Lopez'],['Application[770910]'],,
6194,6195,2019-09-24 15:27:59+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770862]'],['Simon Meister'],
6195,6196,2019-09-24 15:33:39+00:00,consult manager,,['Alexander Rinke'],,['Application[770808]'],['Jana Kershaw'],
6196,6197,2019-09-24 15:40:44+00:00,job offer declined,['Vacancy[550052] - Consultant'],,['Chun Davis'],['Application[770699]'],['Jana Geisler'],['Offer[[990106]]']
6197,6198,2019-09-24 15:42:23+00:00,conduct interview,['Vacancy[550059] - Consultant'],['Alexander Rinke'],['Ray Lemmens'],['Application[770691]'],['Simon Keane'],
6198,6199,2019-09-24 15:59:33+00:00,submit application,,,['Chun Weber'],['Application[770911]'],,
6199,6200,2019-09-24 16:01:20+00:00,send rejection,,,['Toon Taylor'],['Application[770736]'],['Dionne Hense'],
6200,6201,2019-09-24 16:12:24+00:00,conduct interview,['Vacancy[550108] - Manager'],['Miguel Milano'],['Detlef Weber'],['Application[770477]'],['Ed Kershaw'],
6201,6202,2019-09-24 16:41:13+00:00,invite for interview,['Vacancy[550132] - Consultant'],,['Dave Weber'],['Application[770596]'],"['Jana Hense', 'Dionne Keane']",
6202,6203,2019-09-24 16:43:20+00:00,invite for interview,['Vacancy[550118] - Consultant'],,['Ray Taylor'],['Application[770799]'],"['Ed Kershaw', 'Simon Geisler']",
6203,6204,2019-09-24 17:43:26+00:00,submit application,,,['Toon Taylor'],['Application[770912]'],,
6204,6205,2019-09-25 06:38:51+00:00,consult manager,,['Ariel Bardin'],,['Application[770837]'],['Jana Kershaw'],
6205,6206,2019-09-25 07:06:59+00:00,conduct interview,['Vacancy[550137] - Consultant'],['Alexander Rinke'],['Stephan Wang'],['Application[770854]'],['Simon Kershaw'],
6206,6207,2019-09-25 07:41:04+00:00,send rejection,,,['Detlef Weber'],['Application[770477]'],['Ed Kershaw'],
6207,6208,2019-09-25 07:41:04+00:00,submit application,,,['Detlef Weber'],['Application[770913]'],,
6208,6209,2019-09-25 07:41:22+00:00,conduct interview,['Vacancy[550136] - Manager'],['Miguel Milano'],['Stephan Johnson'],['Application[770817]'],['Ed Meister'],
6209,6210,2019-09-25 07:53:08+00:00,check references,,,,['Application[770767]'],"['Simon Meister', 'Jana Meister']",
6210,6211,2019-09-25 08:06:43+00:00,send rejection,,,['Angela Weber'],['Application[770680]'],['Simon Geisler'],
6211,6212,2019-09-25 08:16:21+00:00,invite for interview,['Vacancy[550137] - Consultant'],,['Stephan Zimmermann'],['Application[770722]'],"['Jana Geisler', 'Dionne Meister']",
6212,6213,2019-09-25 08:28:52+00:00,send rejection,,,['Angela Smith'],['Application[770747]'],['Dionne Geisler'],
6213,6214,2019-09-25 08:32:08+00:00,conduct interview,['Vacancy[550119] - Consultant'],['Martin Klenk'],['Pete Li'],['Application[770622]'],['Simon Hense'],
6214,6215,2019-09-25 08:36:15+00:00,consult manager,,['Alexander Rinke'],,['Application[770501]'],['Ed Keane'],
6215,6216,2019-09-25 08:36:59+00:00,first screening,,,,['Application[770773]'],['Ed Geisler'],
6216,6217,2019-09-25 08:41:44+00:00,assign recruiter,,,,['Application[770741]'],"['Dionne Kershaw', 'Jana Meister', 'Simon Meister']",
6217,6218,2019-09-25 08:51:03+00:00,consult manager,,['Bastian Nominacher'],,['Application[770876]'],['Dionne Kershaw'],
6218,6219,2019-09-25 08:57:53+00:00,send rejection,,,['Vanessa Brown'],['Application[770738]'],['Jana Kershaw'],
6219,6220,2019-09-25 08:58:21+00:00,send rejection,,,['Sue Zimmermann'],['Application[770540]'],['Dionne Meister'],
6220,6221,2019-09-25 09:03:57+00:00,send rejection,,,['Johan Schmidt'],['Application[770587]'],['Simon Meister'],
6221,6222,2019-09-25 09:06:28+00:00,submit application,['Vacancy[550140] - Programmer'],,['Sue Zimmermann'],['Application[770914]'],,
6222,6223,2019-09-25 09:08:29+00:00,send rejection,,,['Stephan Wang'],['Application[770854]'],['Simon Kershaw'],
6223,6224,2019-09-25 09:22:51+00:00,first screening,,,,['Application[770827]'],['Dionne Hense'],
6224,6225,2019-09-25 09:23:53+00:00,check references,,,,['Application[770792]'],"['Ed Meister', 'Jana Meister']",
6225,6226,2019-09-25 09:24:18+00:00,invite for interview,['Vacancy[550109] - Consultant'],,['Johan Park'],['Application[770728]'],"['Dionne Keane', 'Ed Keane']",
6226,6227,2019-09-25 09:26:48+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770669]'],['Dionne Keane'],
6227,6228,2019-09-25 09:29:51+00:00,send rejection,,,['Detlef Neumann'],['Application[770834]'],['Simon Geisler'],
6228,6229,2019-09-25 09:30:58+00:00,send rejection,,,['Ray Lemmens'],['Application[770691]'],['Simon Keane'],
6229,6230,2019-09-25 09:36:26+00:00,consult manager,,['Vaishnavi Sashikanth'],,['Application[770879]'],['Ed Geisler'],
6230,6231,2019-09-25 09:45:14+00:00,send rejection,,,['Sue Jansen'],['Application[770613]'],['Dionne Kershaw'],
6231,6232,2019-09-25 09:50:47+00:00,submit application,['Vacancy[550140] - Programmer'],,['Angela Smith'],['Application[770915]'],,
6232,6233,2019-09-25 09:51:32+00:00,invite for interview,['Vacancy[550134] - Manager'],,['Dave Taylor'],['Application[770748]'],"['Simon Keane', 'Jana Hense']",
6233,6234,2019-09-25 09:53:06+00:00,send rejection,,,['Angela Schmidt'],['Application[770760]'],['Dionne Meister'],
6234,6235,2019-09-25 09:55:22+00:00,send rejection,,,['Vanessa Wang'],['Application[770731]'],['Dionne Kershaw'],
6235,6236,2019-09-25 10:11:03+00:00,send rejection,,,['Toon Schmidt'],['Application[770768]'],['Ed Kershaw'],
6236,6237,2019-09-25 10:36:17+00:00,invite for interview,['Vacancy[550138] - Manager'],,['Dave Wagner'],['Application[770690]'],"['Simon Geisler', 'Jana Kershaw']",
6237,6238,2019-09-25 10:38:14+00:00,send rejection,,,['Vanessa Johnson'],['Application[770822]'],['Dionne Hense'],
6238,6239,2019-09-25 11:22:55+00:00,offer accepted and hired,['Vacancy[550088] - Programmer'],,['Angela Lemmens'],['Application[770437]'],['Jana Kershaw'],['Offer[[990104]]']
6239,6240,2019-09-25 11:23:57+00:00,send rejection,,,['Ray Li'],['Application[770745]'],['Jana Keane'],
6240,6241,2019-09-25 11:25:54+00:00,submit application,['Vacancy[550140] - Programmer'],,['Angela Weber'],['Application[770916]'],,
6241,6242,2019-09-25 11:33:15+00:00,check references,,,,['Application[770669]'],"['Dionne Meister', 'Ed Geisler']",
